거래일,종목명,거래수량,환율,거래금액,수수료,유가잔고,잔액,상대계좌,
거래종류,잔고번호,거래단가,외환잔액,정산금액,거래세,세금,부가세,접속매체,
2024.4.26,,0,0,"47,239,473",0,0,"47,239,473",메리츠화재　　　　　 06111004747 메리츠화재,
타사이체입금,9000,0,0,"47,239,473",0,0,0,대외기관,
2024.4.26,,0,0,"47,239,473",0,0,"47,239,473",6YD7787,
연금납입금전환,,0,0,0,0,0,0,,
2024.4.30,ACE 미국S&P500,100,0,"1,769,500",74,100,"45,469,899",,
Smart+거래소주식매수,,"17,695",0,"1,769,574",0,0,0,스마트폰,
2024.4.30,ACE KRX금현물,50,0,"749,500",31,50,"44,720,368",,
Smart+거래소주식매수,,"14,990",0,"749,531",0,0,0,스마트폰,
2024.4.30,TIGER KOFR금리액티브(합성),233,0,"24,492,960","1,030",233,"20,226,378",,
Smart+거래소주식매수,,"105,120",0,"24,493,990",0,0,0,스마트폰,
2024.4.30,SOL 미국배당다우존스(H),200,0,"2,152,500",90,200,"18,073,788",,
Smart+거래소주식매수,,"10,762",0,"2,152,590",0,0,0,스마트폰,
2024.4.30,SOL 미국30년국채커버드콜(합성),520,0,"5,053,850",212,520,"13,019,726",,
Smart+거래소주식매수,,"9,718",0,"5,054,062",0,0,0,스마트폰,
2024.4.30,ACE 미국30년국채엔화노출액티브(H),400,0,"3,631,500",152,400,"9,388,074",,
Smart+거래소주식매수,,"9,078",0,"3,631,652",0,0,0,스마트폰,
2024.5.2,SOL 미국배당다우존스(H),100,0,"1,071,750",45,300,"8,316,279",,
Smart+거래소주식매수,,"10,717",0,"1,071,795",0,0,0,스마트폰,
2024.5.2,SOL 미국30년국채커버드콜(합성),600,0,"5,799,000",244,"1,120","2,517,035",,
Smart+거래소주식매수,,"9,665",0,"5,799,244",0,0,0,스마트폰,
2024.5.2,ACE 미국30년국채엔화노출액티브(H),250,0,"2,229,000",93,650,"287,942",,
Smart+거래소주식매수,,"8,916",0,"2,229,093",0,0,0,스마트폰,
2024.5.2,TIGER KOFR금리액티브(합성),30,0,"3,153,750",132,203,"3,441,560",,
Smart+거래소주식매도,,"105,125",0,"3,153,618",0,0,0,스마트폰,
2024.5.2,ACE 미국30년국채엔화노출액티브(H),341,0,"3,082,040",129,309,"6,523,471",,
Smart+거래소주식매도,,"9,038",0,"3,081,911",0,0,0,스마트폰,
2024.5.2,신한 SOL미국배당다우존스증권상장지수투자신탁[주식](H),0,0,"6,800",0,0,"6,530,271",,
ETF분배금입금,,0,0,"6,800",0,0,0,,
2024.5.2,신한 SOL 미국30년국채커버드콜증권상장지수투자신탁[채권-파생_,0,0,"50,960",0,0,"6,581,231",,
ETF분배금입금,,0,0,"50,960",0,0,0,,
2024.5.3,ACE 미국S&P500,63,0,"1,117,740",47,163,"5,463,444",,
Smart+거래소주식매수,,"17,741",0,"1,117,787",0,0,0,스마트폰,
2024.5.3,ACE KRX금현물,10,0,"148,450",6,60,"5,314,988",,
Smart+거래소주식매수,,"14,845",0,"148,456",0,0,0,스마트폰,
2024.5.3,ACE 미국30년국채엔화노출액티브(H),100,0,"908,000",38,209,"6,222,950",,
Smart+거래소주식매도,,"9,080",0,"907,962",0,0,0,스마트폰,
2024.5.3,한국투자 ACE 미국S&P500증권상장지수투자신탁(주식),0,0,"5,500",0,0,"6,228,450",,
ETF분배금입금,,0,0,"5,500",0,0,0,,
2024.5.3,한국투자 ACE 미국30년국채엔화노출액티브증권상장지수투자신탁[,0,0,"12,800",0,0,"6,241,250",,
ETF분배금입금,,0,0,"12,800",0,0,0,,
2024.5.7,ACE 미국S&P500,210,0,"3,674,950",154,373,"2,566,146",,
Smart+거래소주식매수,,"17,499",0,"3,675,104",0,0,0,스마트폰,
2024.5.7,ACE KRX금현물,10,0,"147,900",6,70,"2,418,240",,
Smart+거래소주식매수,,"14,790",0,"147,906",0,0,0,스마트폰,
2024.5.7,SOL 미국배당다우존스(H),30,0,"319,550",13,330,"2,098,677",,
Smart+거래소주식매수,,"10,651",0,"319,563",0,0,0,스마트폰,
2024.5.8,ACE KRX금현물,10,0,"146,250",6,80,"1,952,421",,
Smart+거래소주식매수,,"14,625",0,"146,256",0,0,0,스마트폰,
2024.5.8,SOL 미국배당다우존스,70,0,"726,900",30,70,"1,225,491",,
Smart+거래소주식매수,,"10,384",0,"726,930",0,0,0,스마트폰,
2024.5.10,ACE KRX금현물,45,0,"654,400",27,125,"571,064",,
Smart+거래소주식매수,,"14,542",0,"654,427",0,0,0,스마트폰,
2024.5.10,SOL 미국배당다우존스,40,0,"417,500",17,110,"153,547",,
Smart+거래소주식매수,,"10,437",0,"417,517",0,0,0,스마트폰,
2024.5.10,SOL 미국30년국채커버드콜(합성),100,0,"980,000",41,"1,020","1,133,506",,
Smart+거래소주식매도,,"9,800",0,"979,959",0,0,0,스마트폰,
