거래일,종목명,거래수량,환율,거래금액,수수료,유가잔고,잔액,상대계좌,
거래종류,잔고번호,거래단가,외환잔액,정산금액,거래세,세금,부가세,접속매체,
Smart+거래소주식매수,,"10,182",0,"203,658",0,0,0,스마트폰,
2024.2.2,한국투자 ACE 미국S&P500증권상장지수투자신탁(주식),0,0,"1,300",0,0,"474,745",,
ETF분배금입금,,0,0,"1,300",0,0,0,,
2024.2.2,삼성 KODEX 미국반도체MV증권상장지수투자신탁[주식],0,0,35,0,0,"474,780",,
ETF분배금입금,,0,0,35,0,0,0,,
2024.2.2,KB KBSTAR 미국반도체NYSE증권상장지수투자신탁(주식)(H),0,0,15,0,0,"474,795",,
ETF분배금입금,,0,0,15,0,0,0,,
2024.2.5,TIGER Fn반도체TOP10,20,0,"204,000",8,80,"270,787",,
Smart+거래소주식매수,,"10,200",0,"204,008",0,0,0,스마트폰,
2024.2.5,KBSTAR 미국채30년엔화노출(합성 H),10,0,"96,900",4,310,"367,683",,
Smart+거래소주식매도,,"9,690",0,"96,896",0,0,0,스마트폰,
2024.2.6,KBSTAR 미국채30년엔화노출(합성 H),50,0,"487,650",20,260,"855,313",,
Smart+거래소주식매도,,"9,753",0,"487,630",0,0,0,스마트폰,
2024.2.7,ACE KRX금현물,40,0,"498,700",20,40,"356,593",,
Smart+거래소주식매수,,"12,467",0,"498,720",0,0,0,스마트폰,
2024.2.7,KBSTAR 미국채30년엔화노출(합성 H),60,0,"566,200",23,320,"-209,630",,
Smart+거래소주식매수,,"9,436",0,"356,593",0,0,0,스마트폰,
2024.2.7,KODEX 200TR,30,0,"361,800",15,10,"152,155",,
Smart+거래소주식매도,,"12,060",0,"152,155",0,0,0,스마트폰,
2024.2.7,ACE 미국S&P500,10,0,"166,950",7,10,"319,098",,
Smart+거래소주식매도,,"16,695",0,"166,943",0,0,0,스마트폰,
2024.2.7,TIGER Fn반도체TOP10,60,0,"612,800",25,20,"931,873",,
Smart+거래소주식매도,,"10,213",0,"612,775",0,0,0,스마트폰,
2024.2.8,KBSTAR 미국채30년엔화노출(합성 H),30,0,"278,600",11,350,"653,262",,
Smart+거래소주식매수,,"9,286",0,"278,611",0,0,0,스마트폰,
2024.2.13,KBSTAR 미국채30년엔화노출(합성 H),10,0,"93,300",3,360,"559,959",,
Smart+거래소주식매수,,"9,330",0,"93,303",0,0,0,스마트폰,
2024.2.14,KBSTAR 미국채30년엔화노출(합성 H),60,0,"556,350",23,420,"3,586",,
Smart+거래소주식매수,,"9,272",0,"556,373",0,0,0,스마트폰,
2024.2.14,,0,0,"1,000,000",0,0,"1,003,586",서동환　　　　　　　 37391001971904 서동환,
타사이체입금,,0,0,"1,000,000",0,0,0,대외기관,
2024.2.15,ACE KRX금현물,10,0,"123,400",5,50,"880,181",,
Smart+거래소주식매수,,"12,340",0,"123,405",0,0,0,스마트폰,
2024.2.15,KBSTAR 미국채30년엔화노출(합성 H),80,0,"730,850",30,500,"149,301",,
Smart+거래소주식매수,,"9,135",0,"730,880",0,0,0,스마트폰,
2024.2.15,KODEX KOFR금리액티브(합성),10,0,"1,058,100",44,0,"1,207,357",,
Smart+거래소주식매도,,"105,810",0,"1,058,056",0,0,0,스마트폰,
2024.2.16,KBSTAR 미국채30년엔화노출(합성 H),100,0,"896,350",37,600,"310,970",,
Smart+거래소주식매수,,"8,963",0,"896,387",0,0,0,스마트폰,
2024.2.16,TIGER Fn반도체TOP10,10,0,"111,150",4,10,"422,116",,
Smart+거래소주식매도,,"11,115",0,"111,146",0,0,0,스마트폰,
2024.2.19,KBSTAR 미국채30년엔화노출(합성 H),10,0,"89,950",3,610,"332,163",,
